Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.31,0.9099999999999999,0.41225569703315845
100% Corpus,7,0.31,symmetric,0.38834723798323756
100% Corpus,7,0.61,0.01,0.41017278169621807
100% Corpus,7,0.61,0.31,0.377514687485613
100% Corpus,7,0.61,0.61,0.37798705687541856
100% Corpus,7,0.61,0.9099999999999999,0.40180544052962747
100% Corpus,7,0.61,symmetric,0.4017039944608283
100% Corpus,7,0.9099999999999999,0.01,0.37197459267638777
100% Corpus,7,0.9099999999999999,0.31,0.37591739636199106
100% Corpus,7,0.9099999999999999,0.61,0.38228829417784554
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.39135284440394796
100% Corpus,7,0.9099999999999999,symmetric,0.38583143490231103
100% Corpus,7,symmetric,0.01,0.3864931368251532
100% Corpus,7,symmetric,0.31,0.37504963251494045
100% Corpus,7,symmetric,0.61,0.38045225046096837
100% Corpus,7,symmetric,0.9099999999999999,0.4791986681411791
100% Corpus,7,symmetric,symmetric,0.38729156939230874
100% Corpus,7,asymmetric,0.01,0.3803499012611978
100% Corpus,7,asymmetric,0.31,0.40964743321901176
100% Corpus,7,asymmetric,0.61,0.4280369481458502
100% Corpus,7,asymmetric,0.9099999999999999,0.43510328256415337
100% Corpus,7,asymmetric,symmetric,0.4137101644066005
100% Corpus,8,0.01,0.01,0.41646886577615827
100% Corpus,8,0.01,0.31,0.3941158531294917
100% Corpus,8,0.01,0.61,0.3765978449710056
100% Corpus,8,0.01,0.9099999999999999,0.36291333917422064
100% Corpus,8,0.01,symmetric,0.40346142878861385
100% Corpus,8,0.31,0.01,0.4232046116111346
100% Corpus,8,0.31,0.31,0.4110559539729254
100% Corpus,8,0.31,0.61,0.3811755428836666
100% Corpus,8,0.31,0.9099999999999999,0.44937336057592514
100% Corpus,8,0.31,symmetric,0.4239920118746542
100% Corpus,8,0.61,0.01,0.433176803819598
100% Corpus,8,0.61,0.31,0.44555445370041197
100% Corpus,8,0.61,0.61,0.44431395879790925
100% Corpus,8,0.61,0.9099999999999999,0.4708033807282341
100% Corpus,8,0.61,symmetric,0.4590013875635245
100% Corpus,8,0.9099999999999999,0.01,0.43796525102352696
100% Corpus,8,0.9099999999999999,0.31,0.43589867592545484
100% Corpus,8,0.9099999999999999,0.61,0.46851538219900435
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4748679808607894
100% Corpus,8,0.9099999999999999,symmetric,0.45256947965012934
100% Corpus,8,symmetric,0.01,0.4076490162073919
100% Corpus,8,symmetric,0.31,0.4015969888984299
100% Corpus,8,symmetric,0.61,0.38369315457338404
100% Corpus,8,symmetric,0.9099999999999999,0.40642268378019675
100% Corpus,8,symmetric,symmetric,0.40845498600945707
100% Corpus,8,asymmetric,0.01,0.4284244611322606
100% Corpus,8,asymmetric,0.31,0.41346502580172106
100% Corpus,8,asymmetric,0.61,0.38462163848702524
100% Corpus,8,asymmetric,0.9099999999999999,0.3733650269274021
100% Corpus,8,asymmetric,symmetric,0.4170699865179365
100% Corpus,9,0.01,0.01,0.43205301082979153
100% Corpus,9,0.01,0.31,0.4660462569793064
100% Corpus,9,0.01,0.61,0.4054209198440287
100% Corpus,9,0.01,0.9099999999999999,0.4582738210540815
100% Corpus,9,0.01,symmetric,0.44864026740605034
100% Corpus,9,0.31,0.01,0.4412525600013542
